시도,시군구,해수욕장명,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년
강원도,강릉시,강문,15273 ,16052 ,15290 ,15324 ,22331 ,67832 ,58344 ,31013 ,40147 ,39865 
강원도,강릉시,경포,6375694 ,5837700 ,5887080 ,6078228 ,5253855 ,295998 ,266873 ,1066122 ,1435604 ,1770346 
강원도,강릉시,금진,2112 ,1342 ,1385 ,9793 ,24422 ,12089 ,2949 ,0 ,12903 ,7450 
강원도,강릉시,남항진,15988 ,11680 ,3450 ,4103 ,3713 ,0 ,0 ,0 ,0 ,9278 
강원도,강릉시,도직,1216 ,855 ,560 ,1826 ,7072 ,0 ,0 ,1834 ,0 ,0 
강원도,강릉시,등명,10988 ,10414 ,2890 ,8097 ,17818 ,0 ,7275 ,8578 ,12780 ,10950 
강원도,강릉시,사근진,18375 ,17595 ,15350 ,14323 ,12730 ,6637 ,12102 ,12244 ,20116 ,25240 
강원도,강릉시,사천,8801 ,17378 ,11140 ,4761 ,7978 ,15720 ,6871 ,3051 ,14205 ,12617 
강원도,강릉시,사천진,8970 ,20901 ,19180 ,6172 ,11737 ,34315 ,25239 ,4708 ,20615 ,20050 
강원도,강릉시,송정,7808 ,10580 ,10895 ,7620 ,10458 ,24626 ,27355 ,27323 ,39730 ,52643 
강원도,강릉시,순긋,7786 ,5720 ,3820 ,10409 ,9142 ,4758 ,8045 ,3848 ,14884 ,16510 
강원도,강릉시,안목,25245 ,16690 ,28270 ,15715 ,132568 ,113056 ,90962 ,95803 ,77645 ,234730 
강원도,강릉시,안인,14170 ,2673 ,2250 ,6364 ,16365 ,0 ,0 ,0 ,7074 ,7040 
강원도,강릉시,연곡,54495 ,9420 ,26428 ,15210 ,50051 ,16605 ,22161 ,4545 ,7732 ,4025 
강원도,강릉시,염전,9477 ,2342 ,1810 ,4543 ,0 ,0 ,0 ,0 ,0 ,0 
강원도,강릉시,영진,20889 ,7955 ,3770 ,9357 ,41916 ,32588 ,30182 ,17650 ,12191 ,13691 
강원도,강릉시,옥계,37015 ,18475 ,16770 ,13935 ,67856 ,10479 ,4019 ,7190 ,8681 ,4231 
강원도,강릉시,정동진,128378 ,20282 ,18540 ,55733 ,114657 ,74223 ,61889 ,34456 ,49588 ,46210 
강원도,강릉시,주문진해변,369883 ,302690 ,199510 ,324590 ,296970 ,73422 ,81291 ,241025 ,181918 ,253291 
강원도,강릉시,하평,7882 ,23888 ,14210 ,3640 ,6387 ,5430 ,3607 ,2595 ,9880 ,10965 
강원도,고성군,가진,17596 ,14261 ,13258 ,9034 ,10584 ,1574 ,13730 ,10670 ,9160 ,8540 
강원도,고성군,거진1리,15830 ,16934 ,17464 ,14478 ,15798 ,3335 ,13159 ,11353 ,6480 ,13025 
강원도,고성군,거진11리,43705 ,24891 ,24127 ,23735 ,26537 ,4937 ,22734 ,20953 ,21020 ,9500 
강원도,고성군,공현진1리,39375 ,36747 ,31411 ,24520 ,26545 ,3169 ,51929 ,27195 ,16535 ,13555 
강원도,고성군,공현진2리,35466 ,39979 ,35138 ,26744 ,29083 ,2850 ,29583 ,26065 ,15910 ,12745 
강원도,고성군,교암,13171 ,12525 ,15196 ,22690 ,24740 ,4880 ,34698 ,13384 ,9490 ,8631 
강원도,고성군,대진1리,10772 ,11906 ,10096 ,7693 ,9618 ,1292 ,10318 ,9264 ,6775 ,4926 
강원도,고성군,대진5리,11055 ,9629 ,7704 ,5582 ,6457 ,1121 ,12321 ,9675 ,6540 ,4275 
강원도,고성군,마차진,43684 ,158676 ,139932 ,91190 ,82002 ,4125 ,11769 ,8414 ,30845 ,18851 
강원도,고성군,명파,30428 ,32769 ,23221 ,4653 ,4704 ,2348 ,10418 ,9478 ,11310 ,6772 
강원도,고성군,문암2리,12536 ,11606 ,11257 ,10468 ,11818 ,1858 ,17849 ,15877 ,9640 ,6555 
강원도,고성군,반암,26485 ,23933 ,20139 ,10375 ,12491 ,1910 ,24887 ,11417 ,9235 ,11956 
강원도,고성군,백도,55752 ,70099 ,79007 ,78459 ,76188 ,10288 ,115634 ,141496 ,97740 ,64560 
강원도,고성군,봉수대,107556 ,91302 ,102710 ,77166 ,51360 ,6097 ,115708 ,142008 ,104115 ,81490 
강원도,고성군,봉포,69294 ,55982 ,58973 ,48200 ,75945 ,11930 ,76415 ,84325 ,102970 ,142075 
강원도,고성군,삼포,178929 ,136445 ,132062 ,224670 ,210735 ,10050 ,261024 ,287161 ,217105 ,333480 
강원도,고성군,삼포2리,41990 ,43651 ,45855 ,43315 ,42727 ,4787 ,56637 ,28702 ,41990 ,21801 
강원도,고성군,송지호,484362 ,359181 ,341123 ,239122 ,239700 ,25118 ,296936 ,333917 ,262040 ,362180 
강원도,고성군,송지호오토캠핑장,20419 ,21889 ,20227 ,16332 ,105608 ,11402 ,29630 ,5953 ,10780 ,7799 
강원도,고성군,아야진,75249 ,61240 ,68070 ,92380 ,20408 ,43200 ,231526 ,385083 ,363615 ,517925 
강원도,고성군,문암1리(자작도),31971 ,33486 ,32916 ,19850 ,18976 ,5510 ,61059 ,69851 ,76410 ,63808 
강원도,고성군,자작도캠핑장,0 ,0 ,0 ,0 ,0 ,0 ,10108 ,8500 ,12265 ,10610 
강원도,고성군,천진,82034 ,72111 ,78508 ,85860 ,90955 ,10847 ,53448 ,53678 ,79866 ,148285 
강원도,고성군,청간,25691 ,24053 ,29464 ,22430 ,23514 ,3517 ,13960 ,14306 ,13760 ,16926 
강원도,고성군,초도,34627 ,37786 ,27835 ,9075 ,11190 ,1134 ,19403 ,9569 ,5750 ,8666 
강원도,고성군,켄싱턴리조트,97612 ,123187 ,100850 ,64063 ,72587 ,24193 ,27822 ,23373 ,15525 ,39210 
강원도,고성군,화진포,593521 ,414164 ,314658 ,229353 ,230201 ,10168 ,170096 ,143756 ,130625 ,0 
강원도,고성군,화진포(현내),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,58675 
강원도,고성군,화진포(거진),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,62215 
강원도,고성군,화진포콘도,0 ,0 ,9730 ,0 ,15022 ,6838 ,9397 ,9915 ,7770 ,15849 
강원도,고성군,반비치,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4260 
강원도,동해시,노봉,42776 ,10549 ,9400 ,3976 ,3620 ,5258 ,11057 ,36943 ,7575 ,6355 
강원도,동해시,대진,163054 ,53899 ,66484 ,13144 ,14139 ,0 ,0 ,52845 ,16130 ,8170 
강원도,동해시,망상,3360547 ,3355972 ,2428817 ,1127433 ,1095314 ,473956 ,439936 ,382326 ,412773 ,386854 
강원도,동해시,망상리조트,191002 ,181212 ,78654 ,33882 ,9727 ,10443 ,0 ,74045 ,34480 ,38800 
강원도,동해시,어달,142308 ,52997 ,58707 ,21985 ,21890 ,19377 ,20800 ,77480 ,29170 ,10120 
강원도,동해시,추암,360218 ,467774 ,1075697 ,567249 ,680304 ,244221 ,226928 ,292571 ,202474 ,312716 
강원도,삼척시,궁촌,85143 ,85411 ,77066 ,22959 ,6828 ,0 ,0 ,0 ,0 ,0 
강원도,삼척시,덕산,122186 ,122739 ,92212 ,58106 ,68380 ,0 ,0 ,0 ,12910 ,0 
강원도,삼척시,맹방,897185 ,897412 ,678988 ,629680 ,731157 ,159240 ,215450 ,223670 ,207462 ,125470 
강원도,삼척시,문암,49157 ,50070 ,39377 ,20946 ,5944 ,6695 ,0 ,0 ,0 ,0 
강원도,삼척시,부남,46245 ,46438 ,33089 ,18085 ,8144 ,0 ,4365 ,2795 ,8347 ,20930 
강원도,삼척시,삼척,830235 ,928059 ,926973 ,1465181 ,1993355 ,491685 ,424370 ,429450 ,420471 ,551990 
강원도,삼척시,상맹방,156247 ,156380 ,165131 ,68628 ,9497 ,0 ,0 ,0 ,0 ,0 
강원도,삼척시,오분,51060 ,51376 ,80669 ,45672 ,2838 ,1629 ,1269 ,0 ,0 ,0 
강원도,삼척시,용화,381279 ,381534 ,440708 ,223615 ,114414 ,6716 ,10360 ,18960 ,21515 ,29909 
강원도,삼척시,원평,47911 ,48526 ,31509 ,17575 ,10610 ,5948 ,9200 ,6680 ,5870 ,9610 
강원도,삼척시,임원,19515 ,23957 ,23373 ,10630 ,2668 ,0 ,0 ,0 ,0 ,0 
강원도,삼척시,작은후진,194766 ,194956 ,166298 ,87117 ,6038 ,2696 ,4750 ,7258 ,7668 ,10575 
강원도,삼척시,장호,638835 ,735151 ,618148 ,277807 ,140038 ,0 ,9488 ,12270 ,10450 ,17790 
강원도,삼척시,증산,198679 ,201639 ,158510 ,93748 ,11895 ,0 ,11230 ,8610 ,0 ,7742 
강원도,삼척시,하맹방,122916 ,123235 ,283392 ,133072 ,6517 ,3710 ,4940 ,6830 ,10120 ,10520 
강원도,삼척시,한재밑,138681 ,139115 ,121280 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
강원도,속초시,등대,43093 ,16295 ,14271 ,22187 ,111741 ,30339 ,19577 ,30199 ,46248 ,46890 
강원도,속초시,속초,3540117 ,3515274 ,2987709 ,1979094 ,2536723 ,289066 ,425213 ,945864 ,657963 ,713357 
강원도,속초시,외옹치,90435 ,26960 ,0 ,24324 ,215235 ,26486 ,78946 ,18030 ,28693 ,44025 
강원도,양양군,갯마을,15116 ,13178 ,8208 ,9908 ,16918 ,6023 ,9489 ,11828 ,23823 ,15769 
강원도,양양군,광진,8601 ,10420 ,6162 ,4345 ,6793 ,3536 ,3924 ,7473 ,5217 ,11400 
강원도,양양군,기사문,9405 ,7523 ,10132 ,10926 ,40961 ,22717 ,6465 ,8042 ,22603 ,17725 
강원도,양양군,낙산,3939952 ,3726078 ,3368382 ,2800461 ,2639047 ,367917 ,376482 ,456148 ,313180 ,372279 
강원도,양양군,남애1,7226 ,8538 ,4345 ,5507 ,15675 ,4972 ,4642 ,7538 ,11732 ,8383 
강원도,양양군,남애3,24911 ,27676 ,15261 ,14141 ,30006 ,16398 ,21469 ,63651 ,106763 ,99684 
강원도,양양군,동산,7236 ,9180 ,2190 ,2010 ,4546 ,1873 ,3581 ,6909 ,6518 ,5019 
강원도,양양군,동산포,5302 ,6957 ,2188 ,3983 ,4542 ,5609 ,5510 ,6211 ,7392 ,8465 
강원도,양양군,동호,97468 ,108945 ,61512 ,43104 ,50762 ,32086 ,15132 ,22763 ,32158 ,17226 
강원도,양양군,물치,21381 ,17975 ,6216 ,13249 ,18980 ,14410 ,12363 ,15479 ,10276 ,0 
강원도,양양군,북분,5861 ,5223 ,4204 ,5795 ,9662 ,13614 ,14125 ,21704 ,18909 ,17723 
강원도,양양군,설악,61034 ,59231 ,72938 ,18409 ,41609 ,5357 ,11459 ,15842 ,21720 ,11424 
강원도,양양군,송전,25411 ,23856 ,26474 ,6488 ,42778 ,9431 ,7881 ,8230 ,18310 ,16233 
강원도,양양군,원포,4651 ,5178 ,5035 ,1779 ,3782 ,1713 ,5400 ,5285 ,5010 ,7087 
강원도,양양군,인구,10241 ,10288 ,5004 ,5345 ,35428 ,14502 ,10195 ,14722 ,18803 ,27174 
강원도,양양군,잔교,13923 ,11117 ,9097 ,4187 ,9294 ,4951 ,5453 ,6643 ,4439 ,12888 
강원도,양양군,정암,7124 ,6697 ,5237 ,8542 ,17151 ,4838 ,5320 ,9817 ,7548 ,15565 
강원도,양양군,죽도,24240 ,25232 ,13740 ,20641 ,52020 ,19560 ,16513 ,20822 ,23481 ,11362 
강원도,양양군,중광정,5662 ,5571 ,4106 ,5732 ,92596 ,14670 ,8608 ,10824 ,12570 ,22339 
강원도,양양군,지경,60807 ,60187 ,20471 ,28282 ,37598 ,48487 ,18508 ,39560 ,63899 ,46851 
강원도,양양군,하조대,139445 ,136577 ,205364 ,381783 ,357128 ,228071 ,32799 ,57059 ,33209 ,60260 
경상남도,거제시,구영,6266 ,2377 ,4002 ,2057 ,2628 ,4144 ,4708 ,5923 ,3617 ,4120 
경상남도,거제시,구조라,68020 ,77460 ,55500 ,55737 ,45740 ,40580 ,49819 ,79719 ,37719 ,85438 
경상남도,거제시,농소,33334 ,41390 ,43507 ,30193 ,23765 ,14937 ,29308 ,38659 ,19816 ,53082 
경상남도,거제시,덕원,1448 ,3231 ,5083 ,2055 ,4486 ,3624 ,3668 ,6613 ,6649 ,5287 
경상남도,거제시,덕포,9650 ,7988 ,14814 ,14925 ,13125 ,7688 ,13691 ,10921 ,12511 ,17733 
경상남도,거제시,망치,14895 ,9045 ,17616 ,11590 ,11740 ,11799 ,23052 ,29860 ,14087 ,24468 
경상남도,거제시,명사,18988 ,13635 ,20972 ,20827 ,27080 ,12512 ,24872 ,17528 ,19718 ,22685 
경상남도,거제시,물안,21790 ,9906 ,17407 ,11592 ,10567 ,11233 ,9468 ,7891 ,7856 ,6090 
경상남도,거제시,사곡,6920 ,4918 ,4195 ,8130 ,3509 ,15756 ,30470 ,25605 ,12546 ,23198 
경상남도,거제시,여차,5866 ,6595 ,13698 ,10350 ,9210 ,8660 ,10896 ,14572 ,11854 ,10568 
경상남도,거제시,옥계,8354 ,3809 ,3257 ,3544 ,10665 ,20754 ,9572 ,19300 ,7609 ,18407 
경상남도,거제시,와현모래숲,48990 ,48460 ,26551 ,46547 ,35530 ,32715 ,41513 ,55957 ,61638 ,72032 
경상남도,거제시,죽림,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
경상남도,거제시,학동흑진주몽돌,93130 ,96410 ,64965 ,56109 ,48687 ,85886 ,88009 ,90208 ,112704 ,159854 
경상남도,거제시,함목,5135 ,7700 ,7891 ,5720 ,3258 ,7344 ,5079 ,5299 ,3279 ,5627 
경상남도,거제시,황포,9101 ,6276 ,2685 ,5310 ,4636 ,8088 ,5845 ,12201 ,8006 ,8204 
경상남도,거제시,흥남,46675 ,33060 ,38635 ,32022 ,29579 ,14782 ,19928 ,28585 ,16763 ,21221 
경상남도,남해군,두곡월포,14594 ,17178 ,7382 ,6436 ,5130 ,6326 ,11033 ,5709 ,8950 ,5640 
경상남도,남해군,사촌,24798 ,12599 ,6316 ,4830 ,10410 ,10032 ,14964 ,15208 ,15451 ,15785 
경상남도,남해군,상주은모래비치,202066 ,193816 ,166944 ,115272 ,122133 ,84922 ,78759 ,46688 ,60706 ,41267 
경상남도,남해군,설리,4200 ,43364 ,51282 ,9068 ,8945 ,5241 ,11269 ,8299 ,7404 ,9699 
경상남도,남해군,송정솔바람해변,59975 ,109492 ,103851 ,69906 ,57746 ,25887 ,27042 ,26829 ,23849 ,30913 
경상남도,사천시,남일대,43400 ,43893 ,35305 ,28100 ,42266 ,41367 ,30583 ,44970 ,24518 ,22160 
경상남도,창원시,광암,0 ,0 ,0 ,29350 ,39380 ,49020 ,63841 ,73733 ,66350 ,54074 
경상남도,통영시,비진도,8373 ,16085 ,13477 ,12540 ,10297 ,7820 ,11348 ,10999 ,18683 ,21531 
경상남도,통영시,사량도대항,4173 ,2739 ,3018 ,4307 ,3583 ,4303 ,3559 ,7079 ,4389 ,5413 
경상남도,통영시,수륙,7311 ,12457 ,15520 ,12953 ,14002 ,22565 ,19374 ,21951 ,13759 ,25933 
경상북도,경주,관성솔밭,428610 ,238300 ,286220 ,102150 ,102750 ,10210 ,11469 ,16090 ,22097 ,7920 
경상북도,경주,나정고운모래,67600 ,155850 ,118910 ,57700 ,59000 ,31615 ,45586 ,24250 ,44417 ,40980 
경상북도,경주,봉길대왕암,27130 ,49900 ,36000 ,35150 ,43810 ,24620 ,39020 ,18490 ,16920 ,12730 
경상북도,경주,오류고아라,41866 ,88700 ,55150 ,63800 ,86250 ,33900 ,32442 ,22954 ,26555 ,24530 
경상북도,경주,전촌솔밭,30148 ,118500 ,55220 ,30500 ,31500 ,0 ,0 ,0 ,0 ,0 
경상북도,영덕,경정,2920 ,3524 ,6685 ,4686 ,8523 ,3874 ,3400 ,3960 ,7697 ,7616 
